"Sortie ID","Route ID","Model ID","Drone ID","Battery ID","Preparation Start (s)","Takeoff (s)","Return to O01 (s)","Battery Occupancy Duration (s)","Battery Ready (s)","Cargo Box ID","Delivery Completion (s)"
"Q2-014","Q2-431e5622672c0626","B","U05","B-BAT-04","1922.7345559700407","2312.7345559700407","3478.1114584163797","3012.0919669689056","4934.826522938946","S010-MED-01","2947.9596738598766"
"Q2-014","Q2-431e5622672c0626","B","U05","B-BAT-04","1922.7345559700407","2312.7345559700407","3478.1114584163797","3012.0919669689056","4934.826522938946","S010-WAT-01","2977.9596738598766"
"Q2-014","Q2-431e5622672c0626","B","U05","B-BAT-04","1922.7345559700407","2312.7345559700407","3478.1114584163797","3012.0919669689056","4934.826522938946","S010-FOD-01","3007.9596738598766"
"Q2-015","Q2-1e0c27512248f540","A","U03","A-BAT-04","2229.338242930773","2559.338242930773","4173.075767144686","3251.2943971809755","5480.6326401117485","S002-FOD-01","3453.1470050377293"
"Q2-016","Q2-d0071ac50728bd9e","A","U01","A-BAT-02","2583.847312401337","2913.847312401337","4527.5848366152495","3245.702070723064","5829.549383124401","S002-HYG-01","3807.6560745082934"
"Q2-017","Q2-9f72d839d185daa3","C","U08","C-BAT-02","3249.6847269959785","3699.6847269959785","5619.795871333059","4764.8196383681025","8014.5043653640805","S003-WAT-01","4685.200299164519"
"Q2-017","Q2-9f72d839d185daa3","C","U08","C-BAT-02","3249.6847269959785","3699.6847269959785","5619.795871333059","4764.8196383681025","8014.5043653640805","S003-WAT-03","4721.200299164519"
"Q2-017","Q2-9f72d839d185daa3","C","U08","C-BAT-02","3249.6847269959785","3699.6847269959785","5619.795871333059","4764.8196383681025","8014.5043653640805","S003-WAT-04","4757.200299164519"
"Q2-017","Q2-9f72d839d185daa3","C","U08","C-BAT-02","3249.6847269959785","3699.6847269959785","5619.795871333059","4764.8196383681025","8014.5043653640805","S003-FOD-02","4793.200299164519"
"Q2-017","Q2-9f72d839d185daa3","C","U08","C-BAT-02","3249.6847269959785","3699.6847269959785","5619.795871333059","4764.8196383681025","8014.5043653640805","S003-HYG-01","4829.200299164519"
"Q2-018","Q2-28d7983964ced853","B","U05","B-BAT-02","3478.1114584163797","3868.1114584163797","5558.654556692262","3951.863494279809","7429.974952696189","S003-MED-01","4766.356340887654"
"Q2-018","Q2-28d7983964ced853","B","U05","B-BAT-02","3478.1114584163797","3868.1114584163797","5558.654556692262","3951.863494279809","7429.974952696189","S003-WAT-02","4796.356340887654"
"Q2-018","Q2-28d7983964ced853","B","U05","B-BAT-02","3478.1114584163797","3868.1114584163797","5558.654556692262","3951.863494279809","7429.974952696189","S003-FOD-01","4826.356340887654"
"Q2-019","Q2-5f2d89f9ab0232b5","B","U06","B-BAT-01","3782.107403132738","4172.107403132738","5610.395987153188","3494.8652509108974","7276.972654043635","S015-MED-01","4939.691695142963"
