Scenario,Sortie ID,Service Area ID,Model ID,Cargo Box ID List,Total Mass (kg),Total Volume (m³),Round-Trip Time (s),Sortie Energy (kWh),Return SOC (%),Operation Time (s),Batch ID
r0.20_a0.9_b1.1,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,2.646597195999874,66.91753505000158,1692.1703918789085,S001|C|01022
r0.20_a0.9_b1.1,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,2.7171857333559766,66.0351783330503,1494.1703918789085,S001|C|31745
r0.20_a0.9_b1.1,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.45882840130033,38.529289967491756,1816.6939339219116,S002|B|00026
r0.20_a0.9_b1.1,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,5.171106798833618,35.361165014579775,2041.8120186387084,S002|C|00229
r0.20_a0.9_b1.1,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.542533348319027,36.43666629202432,2080.5430982758826,S003|B|00026
r0.20_a0.9_b1.1,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,5.241754702682387,34.47806621647016,2370.1111443370805,S003|C|00229
r0.20_a0.9_b1.1,Q1-007,S004,C,"S004-FOD-01, S004-HYG-01, S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03",59.0,0.156,1821.0610665932259,5.573049784109337,30.33687769863329,2301.061066593226,S004|C|00063
r0.20_a0.9_b1.1,Q1-008,S005,C,"S005-FOD-01, S005-HYG-01, S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03",59.0,0.156,1397.1951581955423,3.82633905557183,52.170761805352114,1877.1951581955423,S005|C|00063
r0.20_a0.9_b1.1,Q1-009,S006,C,"S006-FOD-01, S006-HYG-01, S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03",59.0,0.156,1081.5595259403467,2.3641933627255742,70.44758296593032,1561.5595259403467,S006|C|00063
r0.20_a0.9_b1.1,Q1-010,S007,C,"S007-FOD-01, S007-HYG-01, S007-MED-01, S007-WAT-01, S007-WAT-02",45.0,0.129,1457.5754478361764,3.111918568341102,61.101017895736234,1907.5754478361764,S007|C|00031
r0.20_a0.9_b1.1,Q1-011,S008,C,"S008-FOD-01, S008-HYG-01, S008-MED-01, S008-WAT-01, S008-WAT-02",45.0,0.129,1749.7120845921743,5.279186262832632,34.0101717145921,2199.7120845921745,S008|C|00031
r0.20_a0.9_b1.1,Q1-012,S009,B,"S009-FOD-01, S009-MED-01, S009-WAT-01",25.0,0.067,1168.4422473944055,1.9009992002210467,52.47501999447384,1558.4422473944055,S009|B|00007
r0.20_a0.9_b1.1,Q1-013,S010,B,"S010-FOD-01, S010-MED-01, S010-WAT-01",25.0,0.067,1165.376902446339,1.6659826401549278,58.3504339961268,1555.376902446339,S010|B|00007
r0.20_a0.9_b1.1,Q1-014,S011,B,"S011-FOD-01, S011-MED-01, S011-WAT-01",25.0,0.067,798.4236501116584,0.9820827510931651,75.44793122267087,1188.4236501116584,S011|B|00007
r0.20_a0.9_b1.1,Q1-015,S012,B,"S012-FOD-01, S012-MED-01, S012-WAT-01",25.0,0.067,1532.7345559700407,2.503183992402516,37.4204001899371,1922.7345559700407,S012|B|00007
r0.20_a0.9_b1.1,Q1-016,S013,B,"S013-FOD-01, S013-MED-01, S013-WAT-01",25.0,0.067,1120.4702802929446,1.663109318631097,58.42226703422257,1510.4702802929446,S013|B|00007
r0.20_a0.9_b1.1,Q1-017,S014,B,"S014-FOD-01, S014-MED-01, S014-WAT-01",25.0,0.067,1479.7521946190163,1.9698213220573224,50.754466948566936,1869.7521946190163,S014|B|00007
r0.20_a0.9_b1.1,Q1-018,S015,B,"S015-FOD-01, S015-MED-01, S015-WAT-01",25.0,0.067,1438.2885840204503,2.1117776745851966,47.20555813537008,1828.2885840204503,S015|B|00007
r0.20_a1.0_b0.9,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,2.907208919242223,63.65988850947222,1692.1703918789085,S001|C|01022
r0.20_a1.0_b0.9,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,2.9852860963627768,62.68392379546529,1494.1703918789085,S001|C|31745
r0.20_a1.0_b0.9,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.7050467031839105,32.37383242040224,1816.6939339219116,S002|B|00026
r0.20_a1.0_b0.9,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,5.710219358378045,28.622258020274437,2041.8120186387084,S002|C|00229
r0.20_a1.0_b0.9,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.759690035545932,31.0077491113517,2080.5430982758826,S003|B|00026
r0.20_a1.0_b0.9,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,5.738485047471049,28.268936906611884,2370.1111443370805,S003|C|00229
r0.20_a1.0_b0.9,Q1-007,S004,C,"S004-FOD-01, S004-HYG-01, S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03",59.0,0.156,1821.0610665932259,6.135263383036621,23.309207712042234,2301.061066593226,S004|C|00063
r0.20_a1.0_b0.9,Q1-008,S005,C,"S005-FOD-01, S005-HYG-01, S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03",59.0,0.156,1397.1951581955423,4.209049152716598,47.38688559104253,1877.1951581955423,S005|C|00063
r0.20_a1.0_b0.9,Q1-009,S006,C,"S006-FOD-01, S006-HYG-01, S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03",59.0,0.156,1081.5595259403467,2.585033385796053,67.68708267754934,1561.5595259403467,S006|C|00063
