Scenario,Sample ID,Sample status,Sorties,Energy (kWh),Operation Time (s),Selected batch IDs
r0.30_a0.9_b0.9,2,formal sampled,19,53.130882178888356,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a0.9_b1.0,1,formal sampled,18,53.47407621531019,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a0.9_b1.0,2,formal sampled,19,53.39435397523125,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a0.9_b1.1,1,formal sampled,18,53.72965011321696,32776.09267694372,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|C|00031;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a0.9_b1.1,2,formal sampled,19,53.657825771574146,34440.065206685635,S001|C|01022;S001|C|31745;S002|B|00026;S002|C|00229;S003|B|00026;S003|C|00229;S004|C|00063;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00010;S008|B|00021;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,1,formal sampled,20,66.95135814139675,36586.26912606206,S001|C|01022;S001|C|31745;S002|C|00054;S002|C|00201;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,2,formal sampled,21,66.7370786615245,38262.24165580398,S001|C|01022;S001|C|31745;S002|C|00054;S002|C|00201;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,3,formal sampled,21,66.78266339772217,38123.84497526718,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|C|00195;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,4,formal sampled,21,66.78311503920592,38117.84497526718,S001|C|01022;S001|C|31745;S002|B|00011;S002|B|00132;S002|C|00112;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,5,formal sampled,22,66.56838391784991,39799.817505009094,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|C|00195;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,6,formal sampled,22,66.56883555933368,39793.817505009094,S001|C|01022;S001|C|31745;S002|B|00011;S002|B|00132;S002|C|00112;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,7,formal sampled,22,66.65026295243477,39661.42082447229,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,8,formal sampled,23,66.43598347256253,41337.393354214204,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,9,formal sampled,23,66.5310418894899,41335.65578022567,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,10,formal sampled,24,66.31676240961764,43011.628309967586,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,11,formal sampled,25,66.23170596696416,44748.60336218227,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|B|00024;S003|B|00036;S003|C|00195;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b0.9,12,formal sampled,25,66.23214859061925,44742.60336218227,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|B|00011;S003|B|00132;S003|C|00112;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
